56.9,56.55,54.74,30.0,46.86,39.25,48.5,43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84
56.55,54.74,30.0,46.86,39.25,48.5,43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1
54.74,30.0,46.86,39.25,48.5,43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5
30.0,46.86,39.25,48.5,43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43
46.86,39.25,48.5,43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48
39.25,48.5,43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53
48.5,43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52
43.49,59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07
59.57,40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95
40.13,45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95,47.89
45.0,49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95,47.89,18.1
49.85,50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95,47.89,18.1,53.1
50.07,49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95,47.89,18.1,53.1,50.74
49.0,43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95,47.89,18.1,53.1,50.74,40.1
43.69,63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95,47.89,18.1,53.1,50.74,40.1,30.23
63.03,45.59,53.56,38.12,55.89,40.16,65.1,39.58,59.85,55.0,64.19,53.28,68.6,41.0,39.25,38.35,55.76,40.32,62.59,46.78,49.85,59.69,56.0,65.1,58.69,39.5,30.0,65.1,57.2,30.0,50.76,47.08,45.1,14.84,60.1,60.5,47.43,67.48,29.53,43.52,28.07,56.95,47.89,18.1,53.1,50.74,40.1,30.23,67.1
