2015-09-01 00:00:00,48.62,0.00
2015-09-01 01:00:00,47.69,0.00
2015-09-01 02:00:00,45.85,0.00
2015-09-01 03:00:00,45.78,0.00
2015-09-01 04:00:00,49.30,0.00
2015-09-01 05:00:00,55.93,0.00
2015-09-01 06:00:00,60.47,0.00
2015-09-01 07:00:00,57.50,0.00
2015-09-01 08:00:00,59.57,0.00
2015-09-01 09:00:00,60.47,0.00
2015-09-01 10:00:00,63.52,0.00
2015-09-01 11:00:00,63.69,0.00
2015-09-01 12:00:00,60.47,0.00
2015-09-01 13:00:00,60.10,0.00
2015-09-01 14:00:00,62.53,0.00
2015-09-01 15:00:00,63.01,0.00
2015-09-01 16:00:00,62.29,0.00
2015-09-01 17:00:00,61.51,0.00
2015-09-01 18:00:00,65.50,0.00
2015-09-01 19:00:00,67.67,0.00
2015-09-01 20:00:00,61.51,0.00
2015-09-01 21:00:00,54.90,0.00
2015-09-01 22:00:00,51.50,0.00
2015-09-01 23:00:00,49.30,47.57
2015-09-02 00:00:00,47.69,46.16
2015-09-02 01:00:00,47.69,45.83
2015-09-02 02:00:00,47.20,44.39
2015-09-02 03:00:00,47.55,42.23
2015-09-02 04:00:00,51.50,38.17
2015-09-02 05:00:00,62.50,38.03
2015-09-02 06:00:00,63.48,38.11
2015-09-02 07:00:00,63.76,40.03
2015-09-02 08:00:00,65.00,45.20
2015-09-02 09:00:00,65.00,48.69
2015-09-02 10:00:00,65.49,53.22
2015-09-02 11:00:00,65.25,55.11
2015-09-02 12:00:00,63.48,52.02
2015-09-02 13:00:00,63.48,52.28
2015-09-02 14:00:00,62.53,54.30
2015-09-02 15:00:00,62.52,53.29
2015-09-02 16:00:00,61.00,48.47
2015-09-02 17:00:00,58.01,44.68
2015-09-02 18:00:00,61.51,41.56
2015-09-02 19:00:00,63.69,46.59
2015-09-02 20:00:00,57.57,48.42
2015-09-02 21:00:00,49.94,48.72
2015-09-02 22:00:00,49.94,45.86
2015-09-02 23:00:00,47.55,45.00
2015-09-03 00:00:00,45.00,43.27
2015-09-03 01:00:00,44.72,42.31
2015-09-03 02:00:00,43.78,40.01
2015-09-03 03:00:00,45.13,34.96
2015-09-03 04:00:00,49.30,30.90
2015-09-03 05:00:00,54.50,31.10
